AuthorID,Avg_Reference_Count,Avg_Citation_Count,Avg_C5,Avg_Log10_C5,Max_C5,Avg_Disruption,Avg_WSB_Cinf,Avg_WSB_mu,Avg_WSB_sigma,Avg_SB_B,Avg_SB_T,Total_NSF_Count
2633377595,0,,0,0,0,1,,,,,0,
3107496045,0,,0,0,0,2,,,,,0,
2255968652,0,,0,0,0,2,,,,,0,
2478330934,0,,0,0,0,1,,,,,0,
2102267953,0,,0,0,0,1,,,,,0,
2096256076,1,,0,0,0,1,,,,,0,
2373531347,0,,0,0,0,1,,,,,0,
1967855144,0,,0,0,0,1,,,,,0,
2786043750,0,,0,0,0,6,,,,,0,
2349264181,0,,0,0,0,1,,,,,0,
2557200763,0,,0,0,0,1,,,,,0,
2491714189,0,,0,0,0,1,,,,,0,
2769880479,0,,0,0,0,1,,,,,0,
2607287386,0,,0,0,0,1,,,,,0,
2103461237,3,,0,0,0,1,0,,,0,0,
2503555799,0,,0,0,0,2,,,,,0,
2358642301,0,,0,0,0,1,,,,,0,
2692529474,0,,0,0,0,1,,,,,0,
783785900,0,,0,0,0,2,,,,,0,
2777967449,0,,0,0,0,1,,,,,0,
2953729361,0,,0,0,0,1,,,,,0,
2478249378,0,,0,0,0,1,,,,,0,
2638119913,0,,0,0,0,1,,,,,0,
2322939141,0,,0,0,0,1,,,,,0,
2886051611,0,,0,0,0,1,,,,,0,
2501151406,2,,0,0,0,1,,,,,0,
2597899934,0,,0,0,0,1,,,,,0,
2991175333,0,,0,0,0,1,,,,,0,
2619136805,0,,0,0,0,11,,,,,0,
2642630014,0,,0,0,0,1,,,,,0,
2342410168,0,,0,0,0,1,,,,,0,
2512714722,0,,0,0,0,2,,,,,0,
2331646459,0,,0,0,0,1,,,,,0,
3135163923,0,,0,0,0,2,,,,,0,
2755512847,0,,0,0,0,1,,,,,0,
2786002320,0,,0,0,0,1,,,,,0,
3158929329,0,,0,0,0,1,,,,,0,
2178433416,0,,0,0,0,1,,,,,0,
2694046905,0,,0,0,0,1,,,,,0,
2943587621,0,,0,0,0,1,,,,,0,
2630769904,0,,0,0,0,1,,,,,0,
2236464644,0,,0,0,0,1,,,,,0,
2531493376,1,,0,0,0,2,,,,,0,
2661016662,0,,0,0,0,5,,,,,0,
3076115869,1,,0,0,0,9,,,,,0,
2724347003,0,,0,0,0,1,,,,,0,
3016868213,0,,0,0,0,1,,,,,0,
2487631331,2,,0,0,0,3,,,,,0,
2480313268,0,,0,0,0,1,,,,,0,
2946987237,0,,0,0,0,1,,,,,0,
2369738034,0,,0,0,0,1,,,,,0,
3199955666,0,,0,0,0,2,,,,,0,
2719644683,0,,0,0,0,1,,,,,0,
2489636462,0,,0,0,0,1,,,,,0,
2655838164,0,,0,0,0,2,,,,,0,
2117045243,2,,0,0,0,1,,,,,0,
2480142514,0,,0,0,0,1,,,,,0,
2666236995,0,,0,0,0,1,,,,,0,
2599649617,0,,0,0,0,4,,,,,0,
2634915433,0,,0,0,0,1,,,,,0,
2105711760,0,,0,0,0,1,,,,,0,
2688256158,0,,0,0,0,2,,,,,0,
2339533730,2,,0,0,0,4,,,,,0,
2805237066,0,,0,0,0,1,,,,,0,
2721810589,0,,0,0,0,1,,,,,0,
3110678434,0,,0,0,0,1,,,,,0,
2124721091,0,,0,0,0,5,,,,,0,
3108543057,2,,0,0,0,1,,,,,0,
2396085441,3,,0,0,0,4,,,,,0,
2912790788,0,,0,0,0,1,,,,,0,
2608455836,0,,0,0,0,1,,,,,0,
2340439775,0,,0,0,0,1,,,,,0,
3213683436,1,,0,0,0,1,,,,,0,
2505475727,0,,0,0,0,1,,,,,0,
2265460030,0,,0,0,0,3,,,,,0,
3030851296,0,,0,0,0,3,,,,,0,
2658859270,0,,0,0,0,1,,,,,0,
2477190937,0,,0,0,0,1,,,,,0,
2790341852,4,,0,0,0,1,,,,,0,
2336617044,0,,0,0,0,1,,,,,0,
2493671248,3.5,,0,0,0,2,,,,,0,
2646170059,0,,0,0,0,1,,,,,0,
995888463,3,,0,0,0,10,,,,,0,
3113920507,1,,0,0,0,3,,,,,0,
1897238875,8,,0,0,0,2.3333333333333335,,,,,0,
2499030959,0,,0,0,0,1,,,,,0,
2387422752,0,,0,0,0,1,,,,,0,
2505205438,0,,0,0,0,1,,,,,0,
2145856562,0,,0,0,0,1,,,,,0,
2560427475,0,,0,0,0,1,,,,,0,
2567524868,0,,0,0,0,1,,,,,0,
3195788683,0,,0,0,0,1,,,,,0,
2616603096,0,,0,0,0,1,,,,,0,
3143875886,0,,0,0,0,1,,,,,0,
2142893904,0,,0,0,0,1,,,,,0,
3142097333,0,,0,0,0,1,,,,,0,
2565729386,0,,0,0,0,2,,,,,0.25,
2553016547,0,,0,0,0,1,,,,,0,
3042113770,0,,0,0,0,1,,,,,0,
2725315775,0.8,,0,0,0,1.2,2,,,4,0,
2249493334,0,,0,0,0,1,,,,,0,
2253161478,0,,0,0,0,1,,,,,0,
2947922178,0,,0,0,0,2,,,,,0,
2776432700,0,,0,0,0,1,,,,,0,
2497607921,0,,0,0,0,1,,,,,0,
2706823055,0,,0,0,0,1,,,,,0,
2512713639,0,,0,0,0,1,,,,,0,
2774951884,0,,0,0,0,2,,,,,0,
2972196152,4,,0,0,0,1,,,,,0,
3118149889,0,,0,0,0,1,,,,,0,
2955050242,1,,0,0,0,1,,,,,0,
2170872070,0,,0,0,0,1,,,,,0,
2581046010,0,,0,0,0,8,,,,,0,
